Designator,Mid X,Mid Y,Layer,Rotation
U1002,29.00,-85.45,T,0.00
U1003,99.09,-37.30,T,0.00
U1003,29.09,-98.80,T,0.00
U1003,29.09,-37.30,T,0.00
U1003,99.09,-98.80,T,0.00
U201,65.45,-27.82,T,270.00
U201,65.45,-89.33,T,270.00
U201,135.45,-27.82,T,270.00
U201,135.45,-89.33,T,270.00
U301,136.05,-46.23,T,270.00
U301,136.05,-107.72,T,270.00
U301,66.05,-46.23,T,270.00
U301,66.05,-107.72,T,270.00
U302,124.60,-104.70,T,90.00
U302,124.60,-43.20,T,90.00
U302,54.60,-104.70,T,90.00
U302,54.60,-43.20,T,90.00
U303,67.70,-114.50,T,180.00
U303,137.70,-53.00,T,180.00
U303,137.70,-114.50,T,180.00
U303,67.70,-53.00,T,180.00
U401,16.40,-88.85,T,270.00
U401,86.40,-27.35,T,270.00
U401,16.40,-27.35,T,270.00
U401,86.40,-88.85,T,270.00
U801,111.90,-80.00,T,270.00
U801,111.90,-18.50,T,270.00
U801,41.90,-80.00,T,270.00
U801,41.90,-18.50,T,270.00
U901,54.49,-84.72,T,180.00
U901,124.49,-23.22,T,180.00
U901,54.49,-23.22,T,180.00
U901,124.49,-84.72,T,180.00
Y801,37.25,-78.40,T,90.00
Y801,107.25,-16.90,T,90.00
Y801,107.25,-78.40,T,90.00
Y801,37.25,-16.90,T,90.00
